id,name,latitude,longitude,type,address,rating
1,Скамья примирения,56.469894,84.948857,sight,Университетская роща,4.4
2,Геофизический центр Евразии,56.469386,84.949787,sight,Университетская роща,4.3
3,Каменные бабы,56.469913,84.948326,sight,Университетская роща,4.4
4,Каменные бабы,56.469047,84.948282,sight,Университетская роща,4.8
5,Флоринский и Менделеев,56.469175,84.948610,sight,Университетская роща,4.7
6,Павшим за родину,56.468740,84.948880,sight,Университетская роща,5
7,Г.Н. Потанин,56.468826,84.949671,sight,Университетская роща,4.3
8,Профессор Белкин,56.469391,84.948233,sight,Университетская роща,4.3
9,Распад,56.471661,84.949053,sight,Университетская роща,4.3
10,Мост через Медичку,56.471246,84.948956,sight,Университетская роща,4.3
11,Флоринский родник,56.467270,84.943886,sight,Университетская роща,4.5
12,Штаб студенческого красногвардейского отряда,56.471797,84.948976,sight,Университетская роща,3.9